integer,nameOfApplicant,typeOfConstruction,sizeOfConstruction,constructionLocationAddress,termOfTheContract,contractNumber,durationOfTheContract,dateOfTheResolution,contactPointHasEmail,contactPointHasTelephone
3392,"Публічне акціонерне товариство ""МТБ Банк""",Щит на фасаді,19.00 x 0.60 x 1,Полтавський Шлях вул. 9,2023-04-25,null,null,2018-04-25,null,null
3393,"Публічне акціонерне товариство ""МТБ Банк""",Щит виносний,0.70 x 1.00 x 1,Полтавський Шлях вул. 9,2023-04-25,null,null,2018-04-25,null,null
3394,Фізична особа-підприємець Єлькіна Жанна Геннадіївна,Кронштейн на фасаді,1.30 х 2.00 х 2,Ярослава Мудрого вул. 35-А,2021-12-31,3599,2021-12-31,2018-12-12,null,null
3395,"Акціонерне товариство ""Сбербанк""",Щит на фасаді,9.40 x 1.20 x 1,Ярослава Мудрого вул. 37,2026-01-20,null,null,2021-01-20,null,null
3396,"Товариство з обмеженою відповідальністю ""Титан""",Щит на фасаді,15.30 x 1.75 x 1,Плеханівська вул. 66,2021-03-09,null,null,2016-03-09,null,null
3397,Фізична особа-підприємець Паніна Олена Олександрівна,Щит на фасаді,2.00 x 0.50 x 1,Благовіщенська вул. 4,2021-12-31,4360,2021-12-31,2020-02-25,null,null
3398,Фізична особа-підприємець Горячев Ігор Миколайович,Щит на фасаді,9.40 х 0.52 х 1,Данилевського вул. 16/8,2026-07-21,null,null,2021-07-21,null,null
3399,"Товариство з обмеженою відповідальністю фірма ""Посад""",Щит на фасаді,1.00 x 1.80 x 1,Державінська вул. 38,2021-07-20,null,null,2016-07-20,null,null
3400,"Товариство з обмеженою відповідальністю ""Стормак""",Щит на фасаді,8.10 x 2.10 x 1,Салтівське шосе 100,2024-03-27,null,null,2019-03-27,null,null
3401,"Товариство з обмеженою відповідальністю ""АТБ-Маркет""",Щит на фасаді,4.70 х 0.95 х 1,Тракторобудівників просп. 107,2025-02-25,null,null,2020-02-25,null,null
3402,"Товариство з обмеженою відповідальністю ""Джі Ейч Інтернешенел""",Щит на фасаді,0.90 x 1.90 x 1,Ярослава Мудрого вул. 29,2024-10-09,null,null,2019-10-09,null,null
3403,"Товариство з обмеженою відповідальністю ""Джі Ейч Інтернешенел""",Щит на фасаді,0.90 x 1.90 x 1,Ярослава Мудрого вул. 29,2024-10-09,null,null,2019-10-09,null,null
3404,"Товариство з обмеженою відповідальністю ""Інфра-Глобал""",Щит на фасаді,4.30 х 0.70 х 1,Данилевського вул. 26,2025-09-23,null,null,2020-09-23,null,null
3405,"Товариство з обмеженою відповідальністю ""Інфра-Глобал""",Щит на фасаді,3.00 х 0.45 х 1,Данилевського вул. 26,2025-09-23,null,null,2020-09-23,null,null
3406,Фізична особа-підприємець Шеваков Іван Олександрович,Щит на фасаді,11.90 x 0.40 x 1,Данилевського вул. 6,2021-12-31,4579,2021-12-31,2017-01-18,null,null
3407,"Товариство з обмеженою відповідальністю ""Туристичний конс'єрж сервіс ""Ля Дольче Віта""",Щит на фасаді,8.00 x 0.50 x 1,Данилевського вул. 6,2021-12-31,4516,2021-12-31,2017-01-18,null,null
3408,"Товариство з обмеженою відповідальністю ""Туристичний конс'єрж сервіс ""Ля Дольче Віта""",Щит на фасаді,2.00 x 2.60 x 1,Данилевського вул. 6,2021-12-31,4516,2021-12-31,2018-07-25,null,null
3409,"Товариство з обмеженою відповідальністю ""Туристичний конс'єрж сервіс ""Ля Дольче Віта""",Щит на фасаді,1.90 x 2.60 x 1,Данилевського вул. 6,2021-12-31,4516,2021-12-31,2018-07-25,null,null
3410,"Товариство з обмеженою відповідальністю ""Туристичний конс'єрж сервіс ""Ля Дольче Віта""",Щит на фасаді,0.50 x 2.60 x 1,Данилевського вул. 6,2021-12-31,4516,2021-12-31,2018-07-25,null,null
3411,Фізична особа-підприємець Колодка Сергій Олексійович,Щит на фасаді,1.93 х 0.30 х 1,Ярослава Мудрого вул. - Алчевських вул. 40,2023-09-26,null,null,2018-09-26,null,null
3412,Фізична особа-підприємець Колодка Сергій Олексійович,Щит на фасаді,1.93 х 0.30 х 1,Ярослава Мудрого вул. - Алчевських вул. 40,2023-09-26,null,null,2018-09-26,null,null
3413,"Товариство з обмеженою відповідальністю ""АТБ-Маркет""",Щит на фасаді,6.00 x 3.00 x 1,Ювілейний просп. 89,2024-03-27,null,null,2019-03-27,null,null
3414,"Товариство з обмеженою відповідальністю ""АТБ-Маркет""",Щит на фасаді,6.00 x 3.00 x 1,Ювілейний просп. 89,2024-03-27,null,null,2019-03-27,null,null
3415,"Товариство з обмеженою відповідальністю ""АТБ-Маркет""",Щит на фасаді,6.00 x 3.00 x 1,Ювілейний просп. 89,2024-03-27,null,null,2019-03-27,null,null
3416,Фізична особа-підприємець Черкашин Віталій Васильович,Щит на фасаді,11.00 x 1.00 x 1,Ромен Роллана вул. - Незалежності просп. 5,2025-10-21,null,null,2020-10-21,null,null
3417,Фізична особа-підприємець Черкашин Віталій Васильович,Щит на фасаді,4.60 x 2.20 x 1,Ромен Роллана вул. - Незалежності просп. 5,2021-12-31,4616,2021-12-31,2020-10-21,null,null
3418,"Корпорація ""Група BLC""",Щит на фасаді,4.65 x 1.10 x 1,Захисників України м-н 19,2024-06-26,null,null,2019-06-26,null,null
3419,"Корпорація ""Група BLC""",Щит на фасаді,4.65 x 1.10 x 1,Броненосця Потьомкін вул. - Захисників України м-н 19,2024-06-26,null,null,2019-06-26,null,null
3420,"Акціонерне товариство ""Сбербанк""",Щит на фасаді,9.00 x 1.00 x 1,Стадіонний пр-д 11,2025-11-11,null,null,2020-11-11,null,null
3421,"Товариство з обмеженою відповідальністю ""Економ-Рент-Схід""",Щит на фасаді,26.00 х 1.20 х 1,Стадіонний пр-д 21,2025-02-25,null,null,2020-02-25,null,null
3422,"Товариство з обмеженою відповідальністю ""АТБ-Маркет""",Щит на фасаді,1.00 х 1.00 х 1,Танкопія вул. 23,2025-01-29,null,null,2020-01-29,null,null
3423,"Товариство з обмеженою відповідальністю ""АТБ-Маркет""",Щит на фасаді,2.50 x 2.50 x 1,Танкопія вул. 23,2025-01-29,null,null,2020-01-29,null,null
3424,Фізична особа-підприємець Круглова Наталія Миколаївна,Щит на фасаді,4.65 x 0.69 x 1,Свободи вул. 33,2021-12-31,4547,2021-12-31,2017-01-18,null,null
3425,"Приватне підприємство ""Меридіан Схід""",Щит на фасаді,0.90 х 1.40 х 1,Ярославська вул. 21,2022-03-22,null,null,2017-03-22,null,null
3426,"Приватне підприємство ""Меридіан Схід""",Щит на фасаді,3.20 х 1.20 х 1,Ярославська вул. 21,2022-03-22,null,null,2017-03-22,null,null
3427,"Підприємство з іноземними інвестиціями ""МакДональдз Юкрейн Лтд""",Щит на фасаді,0.914 х 0.800 х 1,Різдвяна вул. - Суздальські Ряди вул. 9,2024-10-09,null,null,2019-10-09,null,null
3428,"Акціонерне товариство ""Альфа-Банк""",Щит на фасаді,3.50 х 0.80 х 1,Гіршмана вул. 3,2021-12-31,4810,2021-12-31,2020-01-29,null,null
3429,Фізична особа-підприємець Пархоменко Ігор Віталійович,Щит на фасаді,1.50 х 0.35 х 1,Гіршмана вул. 18,2021-12-31,4605,2021-12-31,2018-08-08,null,null
3430,Фізична особа-підприємець Качина Марина Олексіївна,Щит на фасаді,7.70 х 0.50 х 1,Гіршмана вул. 18,2023-08-08,null,null,2018-08-08,null,null
3431,"Товариство з обмеженою відповідальністю ""Аптека низьких цін Харків""",Щит на фасаді,34.30 х 1.00 х 1,Героїв Праці вул. 26-А,2026-05-12,null,null,2021-05-12,null,null
3432,"Фірма ""Сатурн-Фарм"" у формі товариства з обмеженою відповідальністю",Щит на фасаді,2.00 х 0.40 х 1,Чичибабіна вул. 2,2021-12-31,4586,2021-12-31,2017-06-21,null,null
